line_number,confidence,issue_count,first_issue_line,computed_from_answer,written_in_answer,difference,question,answer
58,medium,1,874€ * 1.07 = 934.18$,935.1800000000001,934.18,1.0000000000001137,Sara bir bilgisayar almak için iki farklı mağazaya bakıyor. İlk mağaza %6 indirimle 950$'a bir cihaz sunuyor. İkinci mağaza ise aynı bilgisayarı %5 indirimle 920€'ya satıyor. İki mağaza arasındaki fiyat farkı nedir?,"Öncelikle her iki mağazanın indirimli fiyatlarını hesaplayalım.

Birinci mağazada:
950$ - %6 indirim = 950$ * (1 - 0.06) = 950$ * 0.94 = 893$

İkinci mağazada:
920€ - %5 indirim = 920€ * (1 - 0.05) = 920€ * 0.95 = 874€

Şimdilerde Avro/Dolar kuru yaklaşık 1€ = 1.07$ civarında.

İkinci mağazanın indirimli fiyatını dolara çevirelim:
874€ * 1.07 = 934.18$

Şimdi fiyat farkını hesaplayalım:
934.18$ - 893$ = 41.18$

İki mağaza arasındaki fiyat farkı yaklaşık olarak 41.18$'dır."
123,low,1,2*(uzunluk + 4) = 30,8.0,30.0,22.0,"Genişliği 4 inç olan bir dikdörtgen var. Eğer dikdörtgenin çevresi 30 inç ise, dikdörtgenin alanı nedir?","Dikdörtgenin çevresini hesaplamak için uzunlukların toplamını kullanırız. Dikdörtgenin çevresi 2*(uzunluk + genişlik) formülü ile bulunur. Verilenlere göre genişlik 4 inç ve çevre 30 inç'tir.

2*(uzunluk + 4) = 30
uzunluk + 4 = 15
uzunluk = 11 inç

Dikdörtgenin alanı genişlik * uzunluk formülü ile hesaplanır:
Alan = 4 * 11 = 44 inç kare

Dikdörtgenin alanı 44 inç karedir."
212,medium,1,Toplam balık sayısı: 8 + 12 + 24 = 36,44.0,36.0,8.0,"Catriona'nın akvaryumunda 8 Japon balığı var. Japon balığından 4 tane daha fazla melek balığı var. Ayrıca, melek balığından iki kat daha fazla lepistesi var. Catriona'nın akvaryumunda kaç balık var?","Catriona'nın akvaryumunda toplamda 36 balık vardır. Hesaplama şu şekildedir:
- Japon balığı: 8
- Melek balığı: 8 + 4 = 12
- Lepistes: 12 * 2 = 24

Toplam balık sayısı: 8 + 12 + 24 = 36"
260,low,1,\[ 79 + 5 = 2 \times John\],84.0,2.0,82.0,"James 23 yaşına girdiğinde John 35 yaşına girmişti.  Tim, John'un yaşının iki katından 5 yıl daha küçüktür.  Tim 79 yaşındaysa James kaç yaşındadır?","Öncelikle, John'un yaşını ve Tim'in yaşını kullanarak John'un şu an kaç yaşında olduğunu bulmamız gerekiyor.

Tim, John'un yaşının iki katından 5 yıl daha küçük olduğuna göre:
\[ Tim = 2 \times John - 5 \]

Tim'in 79 yaşında olduğunu bildiğimize göre bu denklemi çözebiliriz:
\[ 79 = 2 \times John - 5 \]
\[ 79 + 5 = 2 \times John\]
\[ 84 = 2 \times John \]
\[ John = 42 \]

Şimdi, John'un şu anda 42 yaşında olduğunu biliyoruz. John 35 yaşında olduğunda James 23 yaşındaydı. O zaman aralarındaki yaş farkı:
\[ 35 - 23 = 12 \]

Bu durumda, James şu anda John'dan 12 yaş daha gençtir:
\[ James = John - 12 \]
\[ James = 42 - 12 \]
\[ James = 30 \]

James şu anda 30 yaşındadır."
466,medium,1,Net değişim: 8 - 12 = 4 azalma,-4.0,4.0,8.0,"Cuma günü Hank ikinci el bisiklet dükkanını, tamir edilmiş ve sürülmeye hazır bisiklet stokuyla açtı. Gün boyunca 10 bisiklet sattı ve tamir etmek için 15 bisiklet daha satın aldı. Cumartesi günü 12 bisiklet sattı ve 8 tane daha satın aldı. Pazar günü ise 9 bisiklet sattı ve 11 tane daha satın aldı. Üç gün boyunca Hank'in mağazasında stokta bulunan bisiklet sayısındaki net artış ne kadardır?","Hank'in mağazasında stoktaki bisikletlerin net artışını bulmak için satılan ve satın alınan bisikletleri dikkate almalıyız.

Cuma günü:
- Satılan bisiklet: 10
- Satın alınan bisiklet: 15
Net değişim: 15 - 10 = 5 artış

Cumartesi günü:
- Satılan bisiklet: 12
- Satın alınan bisiklet: 8
Net değişim: 8 - 12 = 4 azalma

Pazar günü:
- Satılan bisiklet: 9
- Satın alınan bisiklet: 11
Net değişim: 11 - 9 = 2 artış

Üç günün toplamında net değişim:
5 (artış) + (-4) (azalma) + 2 (artış) = 3 artış

Sonuç olarak, üç gün boyunca Hank'in mağazasında stokta bulunan bisiklet sayısında net artış 3'tür."
478,medium,1,"Dan, iyi iş yaparak 10$ - 100$ = -90$ kazanmıştır, yani iyi iş yaparak daha fazla kazanmamış, aksine 90$ daha az kazanmıştır.",-90.0,90.0,180.0,"Dan, her biri 0,25$'dan 400 iş görevi yapmak için bir saat harcadı. Sonra Dan, her biri 2,00$'dan 5 iş yaparak bir saat geçirdi. Dan, daha düşük ücretli işe kıyasla iyi işi yaparak ne kadar daha fazla kazanmıştır?","Dan düşük ücretli işten 400 iş görevi yaparak 100$ kazanmıştır (400 x 0,25$).

İyi işten ise 5 iş yaparak 10$ kazanmıştır (5 x 2,00$).

Dan, iyi iş yaparak 10$ - 100$ = -90$ kazanmıştır, yani iyi iş yaparak daha fazla kazanmamış, aksine 90$ daha az kazanmıştır."
524,medium,1,5 gün × 35 paket/gün = 175 paket + 1 izin,175.0,176.0,1.0,"Max bir teslimat şirketinde kurye olarak çalışmaktadır. Bir iş günü boyunca en fazla 35 paket teslim edebilir. Bir hafta boyunca Max sadece iki kez maksimum sayıda paket teslim etmiştir. Diğer iki günde Max toplam 50 paket boşaltmış, bir günde ise mümkün olan maksimum günlük performansın yalnızca yedide birini boşaltmıştır. Son iki günde, taşınan paketlerin toplamı maksimum günlük performansın yalnızca dörtte beşi kadardı. Max maksimum performansta çalışsaydı o hafta boyunca kaç paket daha taşıyabilirdi?","Max, bir iş günü boyunca en fazla 35 paket teslim edebilir. Bir hafta boyunca maksimum 5 gün çalışır (ortalama 7 gün haftasında 2 gün izin alınacaktır).

- İki gün maksimum paket - 35 paket/gün:
  2 gün × 35 paket = 70 paket

- Diğer iki gün 50 paket toplamında:
  2 gün = 50 paket

- Bir gün minimum performansın sadece yedide biri:
  35 paket ÷ 7 = 5 paket

- Son iki günde toplam taşınan paketlerin sayısı maksimum performansın dörtte beşi kadar:
  35 paket/gün × 2 gün = 70 paket
  70 paket × 4/5 = 56 paket

Bir haftada taşınan paketlerin toplamı:
70 + 50 + 5 + 56 = 181 paket

Eğer Max maksimum performansla çalışsaydı:
5 gün × 35 paket/gün = 175 paket + 1 izin
= 245 paket taşıyabilirdi

245 paket - 181 paket = 64 paket daha taşıyabilirdi.
"
528,low,1,Renkli kartuşların maliyeti 3 * 32 = 96 $ ve siyah-beyaz kartuşun maliyeti 27 $.,96.0,69.0,27.0,"Yazıcının çalışması için Jerry'nin bir siyah-beyaz kartuş ve üç renkli kartuş eklemesi gerekiyor. Her bir renkli kartuş 32 $ ve her bir siyah-beyaz kartuş 27 $ ise, toplam ne kadar öder?","Jerry, üç renkli kartuş ve bir siyah-beyaz kartuş ekleyecek. Renkli kartuşların maliyeti 3 * 32 = 96 $ ve siyah-beyaz kartuşun maliyeti 27 $.

Toplam maliyet:
96 $ + 27 $ = 123 $

Jerry toplamda 123 $ öder."
560,low,1,"8 dolar / 10,5 ons = 0,76 dolar/ons",0.7619047619047619,0.76,0.0019047619047618536,"Maddie annesinin her hafta kahveye ne kadar harcadığını görmek istiyor. Kendisine günde 2 fincan kahve yapıyor. Her fincanda 1,5 ons kahve çekirdeği var. Bir paket kahvenin fiyatı 8 dolar ve 10,5 ons kahve çekirdeği içeriyor. Haftada 1/2 galon süt kullanıyor. Bir galon sütün fiyatı 4 $. Kahveye hiç şeker katmıyor. Haftada kahve için ne kadar harcıyor?","Maddie'nin haftalık kahve masrafını hesaplamak için öncelikle kahve çekirdeği ve süt maliyetlerini bulmamız gerekiyor.

1. Kahve Çekirdeği Tüketimi ve Maliyeti:
- Maddie günde 2 fincan kahve içiyor, her fincanda 1,5 ons kahve çekirdeği var.
  Günlük kahve çekirdeği tüketimi: 2 fincan * 1,5 ons = 3 ons
  Haftalık kahve çekirdeği tüketimi: 3 ons * 7 gün = 21 ons

- Bir paket kahve 8 dolar ve 10,5 ons kahve çekirdeği içeriyor.
  Paket başına kahve çekirdeği fiyatı:
  8 dolar / 10,5 ons = 0,76 dolar/ons

  Haftalık kahve çekirdeği maliyeti:
  21 ons * 0,76 dolar/ons = 15,96 dolar

2. Süt Tüketimi ve Maliyeti:
- Maddie haftada 1/2 galon süt kullanıyor.
  Süt fiyatı ise 4 dolar/galon.

  Haftalık süt maliyeti:
  1/2 galon * 4 dolar/galon = 2 dolar

Toplam Haftalık Kahve Maliyeti:
- Toplam maliyeti bulmak için kahve çekirdeği ve süt maliyetlerini topluyoruz:
  15,96 dolar (kahve çekirdeği) + 2 dolar (süt) = 17,96 dolar

Maddie haftada kahve için toplamda 17,96 dolar harcıyor."
645,medium,1,Andy 156 - 128.625 = 27.375 kilo daha hafif.,-128469.0,27375.0,155844.0,Andy yıla 156 kilo ağırlığında başladı. Daha sonra 3 inç uzadı ve 36 kilo aldı. Andy kilosundan memnun değildi ve egzersiz yapmaya karar verdi. Sonraki 3 ay boyunca her ay kilosunun sekizde birini verdi. Andy şimdi yılın başına göre ne kadar daha hafiftir?,"Andy başlangıçta 156 kilo idi ve 36 kilo aldı, bu yüzden 192 kiloya ulaştı. Sonra her ay kilosunun sekizde birini üç ay boyunca verdi.

İlk ay: 192 / 8 = 24 kilo verdi, yani 192 - 24 = 168 kilo oldu.
İkinci ay: 168 / 8 = 21 kilo verdi, yani 168 - 21 = 147 kilo oldu.
Üçüncü ay: 147 / 8 = 18.375 kilo verdi, yani 147 - 18.375 = 128.625 kilo oldu.

Şu anki kilosu 128.625 kilo ve başlangıç kilosu 156 kilo idi. Andy 156 - 128.625 = 27.375 kilo daha hafif.

Andy şimdi yılın başına göre 27.375 kilo daha hafiftir."
